user_id;gender;initials;affiliation;url;country
1632;M;WAM;Instituto Federal de Educação, Ciência e Tecnologia do Ceará – IFCE - Endereço: Av. Treze de Maio, 2081 – Benfica - CEP: 60040-531 - Fortaleza – CE - Fone: (85) 3307.3666 - Fax: (85) 3307.3711;\N;BR
776;F;\N;Universidade Federal do Ceará;\N;BR
2497;\N;\N;\N;\N;BR
564;M;WMR;Instituto Federal de Ciência e Tecnologia de Alagoas;\N;BR
1419;F;MBS;Instituto Federal de Alagoas - Campus Marechal Deodoro;\N;BR
716;M;ICS;Instituto Federal de Educação, Ciência e Técnologia do Maranhão - Campus Buriticupu;\N;BR
41;F;sss;instituto federal do pará- campus industrial marabá;\N;BR
1030;F;JMRL;IFMA;\N;\N
1215;F;SBS;Universidade Federal Rural do Rio de Janeiro - UFRRJ;\N;BR
1141;M;\N;Instituto Federal de Educação Ciência e Tecnologia;\N;BR
6918;\N;\N;\N;\N;\N
638;M;JAS;Instituto Federal de Educação, Ciência e Tecnologia - IFET / Campus Juazeiro do Norte - CE;\N;BR
1968;M;TP;Universidade Federal de Campina Grande;\N;BR
846;F;PAB;Instituto Federal do Sertão Pernambucano;\N;\N
566;F;ASM;"Univesridade Estadual do Ceará - UECE
Faculdade de Tecnologia Darcy Ribeiro - FTDR";\N;BR
1822;F;FMM;Intituto Federal de Alagoas IFAL;\N;BR
639;F;tov;instituto federal de educação,ciência e tecnologia do maranhão;\N;BR
1421;F;ASS;Instituto Federal de Alagoas - Campus Marechal Deodoro;\N;BR
117;M;MHR;IFRN;\N;\N
106;M;SAB;"Instituto Federal de Educação Ciência e Tecnologia. 

CAMPUS juazeiro do norte-ce";\N;BR
121;M;FGDS;CT-PIM;\N;BR
1036;F;DGS;Instituto Federal de educação, ciência e tecnologia do RN (IFRN);\N;BR
123;M;FGDS;CT-PIM;\N;BR
1674;M;HSM;"IFMT ; UNIC";\N;BR
721;F;ACSB;Instituto Federal de Educação, Ciência e Técnologia do Maranhão - Campus Buriticupu;\N;BR
1217;F;ELC;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO/IFMA;\N;BR
132;F;ARC;IFCE;\N;\N
1281;M;JNMS;Instituto Federal de Educação, Ciência e Tecnologia - IFS;\N;BR
1423;M;DAL;IFCE;\N;\N
1037;F;MSB;Instituo Federal de Pernambuco - IFPE;\N;BR
2021;F;ECBS;Colegio Militar do Corpo de Bombeiros do Ceara;\N;\N
1426;F;JKSM;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte- Campus  Currais Novos;\N;BR
1219;M;PP;Instituto Federal de Educação, Ciência e Tecnologia do Pará - IFPA;\N;BR
3;\N;\N;\N;\N;\N
1307;F;DZSM;IFRN;\N;BR
1602;M;LTCN;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte;\N;BR
1301;M;FWMPH;Instituto Federal do Tocantins - Campus de Palmas;http://www.ifto.edu.br;BR
1257;F;HKS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ- IFPI;\N;BR
1780;F;VAL;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE - IFS;\N;BR
1824;F;jkso;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte. (IFRN).;\N;BR
1101;F;PRA;Centro Universitário do Norte - UNINORTE;\N;BR
104;F;jrc;Instituto Federal do Piauí (IFPI);\N;\N
144;M;RFR;IFPB;\N;BR
781;M;ASFG;UFRN-Universidade Federal do Rio Grande Do Norte;\N;\N
570;F;IRN;Instituto Federal de Sergipe;\N;BR
153;F;KBC;Instituto Federal de Educação, Ciência e Tecnologia - IFCE;\N;BR
1328;F;RCB;Insituto Federal do Ceará - Campus Limoeiro do Norte.;\N;BR
2537;F;vmm;\N;\N;BR
827;M;APC;Instituto Federal de Educação, Ciência e Tecnologia do Tocantins;\N;BR
434;M;PRD;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte-Campus Currais Novos;\N;BR
642;F;APB;IFPB - campus João Pessoa;\N;BR
2758;F;MOD;UNIVERSIDADE FEDERAL DE ALAGOAS;\N;BR
725;M;RSM;Instituto Federal de Educação, Ciência e Técnologia do Maranhão - Campus Buriticupu;\N;BR
1040;F;EFL;Instituto Federal de educação, ciência e tecnologia da Paraíba - Campus Campina Grande;\N;BR
160;F;EA;Instituto Federal de Educação Cência e Tecnologia do Ceará;\N;BR
1221;M;FJCP;Instituto Federal de Educação, Ciência e Tecnologia do Maranhão;\N;BR
2511;\N;\N;\N;\N;BR
1557;M;ETS;Mestrando pela UFBA;\N;BR
226;F;sscs;Instituto Federal de Educação, Ciência e Tecnologia do Ceará-Campus Maracanaú;\N;BR
173;F;KMO;IFPB;\N;BR
1535;F;ELS;UFAL - Universidade Federal de Alagoas;\N;BR
1609;F;OMTR;Instituto Federal Ciências, Técnologia do Maranhão Campus Zé DOCA;\N;BR
1042;F;PJS;IFRN- campus natal central;\N;BR
573;\N;\N;ifal;\N;\N
170;M;RSC;UNIVERSIDADE ESTADUAL DO PIAUI;\N;BR
1611;M;DBPL;Instituto Federal da Bahia;\N;BR
1930;M;TACA;IFRN;\N;BR
785;F;KAVC;IFPI;\N;\N
1430;F;URSN;Instituto Federal de Educação do Amazonas - IFAM;\N;BR
3531;\N;\N;IFRN;\N;\N
1043;M;AVS;Instituto federal de educação, ciência e tecnologia da Paraíba - Campus Campina Grande;\N;BR
1149;F;FASP;Universidade Federal de Alagoas - UFAL;\N;\N
180;M;GVAN;Instituto Federal de Educação, Ciência e Tecnologia do Maranhão - Campus Santa Inês;\N;BR
645;F;TRC;Universidade Regional do Cariri-URCA;\N;BR
728;M;vpp;ifpi;\N;BR
1269;F;ARADS;IFPB-JP;\N;BR
89;F;ADMP;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte - IFRN;\N;BR
1044;F;MSF;Instituto Federal de educação, ciência e tecnologia da Paraíba - Campus Campina Grande;\N;BR
191;M;mpl;instituto federal do piauí;\N;\N
1223;F;HGA;Instituto Federal de Educação, Ciência e Tecnologia do Ceará-IFCE;\N;BR
1150;F;BMA;instituto Federal de ciencias e tecnologia do piaui ,campus Floriano;\N;BR
185;F;LJFGR;IFMA;\N;BR
787;F;IC;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte;\N;BR
575;F;MMS;Instituto Federal de Educação Ciência e Tecnologia do Piauí-IFPI;\N;BR
188;M;KCO;Instituto Federal de Educação, Ciencia e Tecnologia do Maranhão - Campus Zé Doca;\N;BR
1045;M;WNLR;Instituto Federal de Educação, Ciência e Tecnologia do Maranhão;\N;BR
1728;M;AAAM;Universidade Federal de Sergipe - UFS;\N;\N
730;F;ICLF;Instituto Federal de Educação, Ciência e Tecnológia do Ceará;\N;BR
199;M;AFSN;"Instituto Federal de Educação, Ciência e Tecnologia de Alagoas
Campus Maceió";\N;\N
1433;F;tcn;IFCE;\N;BR
1833;F;TLA;Instituto Frderal de Educação de Ciência e Tecnologia de Alagoas Campus Satuba;\N;BR
1756;M;CR;IFTO - Campus Palmas;\N;\N
1931;F;JRP;Instituto Federal de Ciência, Educação e Tecnologia do Ceará.;\N;BR
125;M;LOA;Instituto Federal de Educação, Ciência e Tecnologia do Ceará;\N;BR
786;M;CHRC;IFAL;\N;BR
1046;F;IOA;instituto federal de educação, ciência e tecnologia da Paraíba - Campus Campina Grande;\N;BR
202;F;vos;instituto federal de educação ciencia e tecnologia;\N;\N
789;O;MCSS;UAB/EAD/IFPA;\N;BR
6919;\N;\N;\N;\N;\N
2825;F;GCSM;IFSERTÃO-PE;\N;\N
206;F;MGBA;Instituto Federal de Educação, Ciência e Tecnologia de Sergipe -IFS/SE;\N;BR
731;F;SMFA;Instituto Federal da Bahia;\N;BR
1225;F;\N;Instituto Federal de Educação, Ciência e Tecnologia do Ceará (IFCE);\N;\N
2473;\N;MCVN;\N;\N;BR
208;M;JABO;I F SUDESTE DE MINAS GERAIS -CAMPUS DE BARBACENA;\N;BR
209;F;ERA;Universidade Federal Rural de Pernambuco - UFRPE;\N;BR
1434;M;FPR;Instituto Federal de Educação, Ciência e Tecnologia da Paraíba;\N;BR
1835;M;LHNA;Instituto Federal de Educação, Ciência e Tecnologia da Bahia;\N;BR
212;M;MCP;IF - Sertão Pernambucano, Campus zona rural.;\N;BR
653;M;WRG;Instituto Federal de Educação, Ciência e Tecnologia - Campus Vitória de Santo Antão;\N;\N
2826;F;GICSM;IF SERTÃO-PE;\N;\N
1311;F;VSL;IFCE;\N;BR
217;M;PJO;Instituto Federal de Alagoas;\N;BR
831;M;HPM;Instituto Federal de Alagoas;\N;BR
1616;F;RRS;Instituto Federal de Educação Ciência,e Tecnologia do Maranhão- Campus Zé Doca;\N;BR
1226;F;EKA;instituto federal de educação,ciencia e tecnologia do ceará;\N;BR
541;\N;\N;IFPA;\N;BR
50;M;TSC;Instituto Federal de Educação Ciência e Tecnologia de Pernambuco;\N;BR
219;F;NSR;Instituto Federal de Educação, Ciência e Tecnologia do Estado do Ceará - Campus maracanaú;\N;BR
220;M;RPM;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO ESTADO DO CEARÁ - CAMPUS MARACANAÚ;\N;BR
815;F;NSS;IFPB;\N;BR
80;F;EZS;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte  - IFRN;\N;BR
48;F;AFL;IFPI;\N;BR
1436;F;EBL;IFRN;\N;\N
172;M;MLS;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte (IFRN);\N;BR
1836;M;LCMS;IFBa- Instituto Federal da Bahia;\N;BR
2000;F;IDBA;Instituto Federal de Educação, ciência e Tecnologia do Rio Grande do Norte;\N;BR
580;F;EMSS;Cefet - Al;\N;\N
1154;M;LGVS;Instituto Federal de Educação, Ciência e Tecnologia do Maranhão - Campus Zé Doca;\N;BR
1050;M;EMS;Instituto Federal de Eduação Ciência e Tecnologia da Paraíba;\N;BR
1837;F;CDC;IFPE;\N;BR
735;F;AMS;IFMA;\N;\N
232;F;WSL;IFMA;\N;BR
790;M;FF;Faculdade de Milagres (FAMICE);\N;BR
233;F;lmga;instituto federal do piauí;\N;BR
24;F;MKAN;Instituto Federal de Educação, Ciência e Tecnologia do Piauí;\N;BR
234;M;RFP;"Instituto Federal de Educação Ciência e Tecnologia - IFCE. 
CAMPUS JUAZEIRO DO NORTE";\N;BR
1271;F;SRR;Universidade Federal de Sergipe;\N;BR
1051;F;FIOS;IFMA - INSTITUTO FEDERAL DE EDUCAÇÃO CIENCIA E TECNOLOGIA - CAMPUS CODÓ;\N;BR
235;F;AMAG;Isntituto Federal de educação ciência e Teconoligia- Campus Juazeiro do Norte- Ceará;\N;BR
986;M;SSA;"Instituto Federal de Educação, Ciência e Tecnológia de Alagoas - IFAL; Universidade Federal de Alagoas - UFAL.";\N;AZ
1437;F;LMC;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte - Campus Currais Novos;\N;BR
736;F;AMS;IFMA;\N;BR
236;M;MFP;IFRN;\N;BR
157;M;AVS;IFCE - Instituto Federal de Educação, Ciência e Tecnologia, Campus Juazeiro do Norte;\N;BR
1052;M;AMG;IFCE;\N;BR
583;M;ELL;UNIVERSIDADE FEDERAL DA PARAÍBA;\N;BR
242;M;atss;IFPI;\N;BR
793;F;MAGS;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte;\N;BR
424;F;MSSL;INSTITUTO FEDERAL DE EDUCAÇÃO CIENCIA E TECNOLOGIA DO PIAUI;\N;BR
1548;M;PRNF;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte - IFRN;\N;\N
244;F;CMF;Instituto Federal de Educação, Ciência e Tecnologia do Piauí;\N;BR
1053;M;JPL;Universidade Federal da Paraíba;\N;BR
738;F;\N;Universidade Federal do Amazonas;\N;\N
1228;M;mha;Instituti federal do piaui Campus Floriano;\N;BR
246;F;LPFA;IFCE;\N;\N
60;M;PRGGJ;Instituto Federal de Educação, Ciência e Tecnologia do Maranhão;\N;\N
584;M;\N;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte;\N;\N
1736;F;DCMG;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte;\N;BR
794;M;JG;IFRN;\N;BR
1937;M;HAL;IF DO SERTÃO PERNAMBUCANO;\N;\N
251;M;PBB;Universidade Regional do Cariri - URCA;\N;BR
252;M;IFAC;IFPI;\N;BR
253;M;NANJR;IFAL-CAMPUS SATUBA;\N;\N
254;F;HC;IF-PI;http://www.orkut.com.br/Main#Profile?uid=18437208597888225605;BR
255;M;FFMN;Instito Federal de Ciência Educação e Tecnologia do Piauí;\N;\N
1055;M;CABF;IFMA-Campus São Raimundo das Mangabeiras;\N;BR
221;M;BLBJR;IF SERTÃO-PE;\N;BR
258;F;hel;instituto federal de ciências e tecnolgia, campo palmeira dos indios;\N;BR
1619;F;CKMSF;Instituto Federal de Educação, Ciência e Tecnologia - IFPE;\N;BR
740;F;TS;IF SERTÃO-PE;\N;BR
586;\N;\N;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte;\N;\N
2022;F;LVF;IFRN;\N;BR
741;M;JFG;Universidade Federal do Pará;\N;BR
2634;M;VM;IFPE - CAMPUS PESQUEIRA;\N;BR
1748;F;SCS;Instituto Federal de Educação, Ciência e Tecnologia;\N;BR
868;F;MS;IFPB;\N;BR
1899;F;AMFS;Universidade Estadual de Ciências da Saúde de Alagoas -  UNCISAL.;\N;BR
2783;O;apo;instituto federal do piaui;http://connepi.ifal.edu.br/ocs/index.php/connepi/CONNEPI2010/user/createAccount#formErrors;BR
1550;F;LFSS;Universidade Federal do Maranhão;\N;BR
587;F;FMFT;IFRN;\N;BR
1253;F;NMCA;Instituto Federal de Educação, Ciência e Tecnologia da Paraíba (IFPB);\N;BR
660;F;RLB;Instituto Federal de Educação, Ciência e Tecnologia da Paraíba;\N;BR
1972;F;GCLP;Intituto Federal de Educação Ciência e Tecnologia do Maranhão;\N;\N
271;M;AVS;Instituto Federal de Educação, Ciência e Tecnologia da Bahia;\N;BR
2757;M;\N;\N;\N;BR
274;F;TRMC;Instituto Federal de Educação, Ciência e Tecnologia da Bahia;http://www.ifba.edu.br/grau;BR
179;F;JCSL;IFPA;http://lattes.cnpq.br/9056673508820849;BR
279;F;IMT;Instituto Federal do Amazonas - IFAM;\N;\N
1620;F;RSO;Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco;\N;BR
1161;M;GJSC;TUTOR - IFAL - EAD;\N;BR
397;F;MOAP;Universidade Federal da Paraíba;\N;BR
281;F;JSS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ;\N;BR
282;F;MCS;Instituto Federal de Educação, Ciência e Tecnologia da Bahia/Campus Barreiras;http://www.ifa.edu.br;BR
1637;M;YGR;Instituto de Educação, Ciência e Tecnologia do Rio Grande do Norte-IFRN (campus central);\N;BR
284;F;aval;IFCE INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIAS E TECNOLOGIA;\N;BR
1059;F;AMA;IFPE;\N;BR
1162;F;ASDN;IFMA;\N;BR
743;F;LMAC;Universidade Federal do Pará;\N;BR
1118;M;CSM;IF -AL;\N;BR
1278;F;SMT;Faculdade José Augusto Vieira;\N;BR
21;F;\N;IFAL;\N;BR
38;M;DAMC;IFMA - INSTITUTO FEDERAL DE EDUCAÇÃO CIENCIA E TECNOLOGIA DO MARANHÃO;\N;BR
2487;M;SF;IFBA;\N;BR
835;M;VACF;IFPB;\N;BR
1284;F;DTBS;Universidade de Brasília (UnB);\N;BR
288;M;JSR;INSTITUTO FEDERAL DE EDUCAÇÃO,CIÊNCIA E TECNOLOGIA DO PIAUÍ;\N;BR
1060;F;DBR;Universidade Federal de Alagoas - UFAL;\N;BR
2759;F;\N;\N;\N;\N
337;F;JLS;Instituto Federal de Educação Ciencia e Tecnológia do Estado do Ceará;\N;BR
1231;F;TLS;Instituto Fedeal de Educação, Ciência e Tecnologia do Ceará;\N;BR
156;F;ELA;IFPI;\N;BR
1553;F;LEDS;Instituto Federal de Educação, Ciência e Tecnologia do Pará;\N;BR
1163;F;MGX;Instituto Federal de Alagoas - Campus Satuba;\N;BR
267;M;FHHA;Instituto Federal de Educação, Ciência e Tecnologia do ceará;\N;BR
295;F;MAFB;Instituto Federal de Educação, Ciência  e Tecnologia do Ceará -IFCE;\N;BR
589;M;APB;IFRN;\N;BR
665;F;LRAO;Universidade  Federal do Pará;\N;BR
2003;F;MPSO;Instituto Federal de Educação, Ciência e Tecnologia do Rio grande do Norte;\N;BR
1847;F;PRP;Instituto Federal de Educação, Ciência e Tecnologia da Paraíba;http://www.cefetpb.edu.br/DTI/newversao/ifpb4.php?acessos=323517;BR
2043;\N;\N;IFBA;\N;\N
1446;F;MRNS;Instituto Federal de Educação, Ciência e Tecnologia do Tocantins - Campus Palmas;\N;BR
2002;F;\N;Faculdade de Educação de Araucária - PR;\N;BR
1025;F;LAC;IFCE campus Sobral;\N;BR
2579;M;SF;\N;\N;BR
1166;M;HDS;Instituição Federal de Educação, Ciência e Tecnologia da Paraíba;\N;BR
245;M;DCG;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte;http://www.ifrn.edu.br;BR
3358;M;MAO;IFBA;\N;\N
836;M;JMGOF;Instituto Federal de Educação, Ciência e Tecnologia da Paraíba(IFPB) - Campus João Pessoa;\N;\N
297;M;HJMO;"Universidade Aberta do Brasil
IFRN
Universidade Potiguar";\N;BR
2004;F;LFMV;IFPB;\N;\N
81;F;LFON;Instituto Federal do Piauí - campus Floriano;\N;BR
299;F;APSP;Universidade Federal de Sergipe;\N;BR
590;M;eomj;Instituto Federal do Piauí;\N;BR
1272;F;VF;Faculdade de Educação da Universidade Federal da Bahia.;\N;BR
1233;F;cpnf;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte;\N;BR
4278;\N;\N;IFAL/MARAGOGI;\N;\N
1063;F;CKCL;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ-IFPI;\N;BR
230;M;NSR;IFMA;\N;BR
2761;\N;\N;\N;\N;\N
1285;M;MPB;IFRN;\N;\N
320;F;\N;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte;\N;\N
1020;F;ARPF;Instituto Federal de Educação, Ciência e Tecnologia do Piaui;\N;BR
285;F;mesfs;Instituto Federal de Educação, Ciência e Tecnologia do RN;\N;BR
1066;F;FGC;IFAL CAMPUS SATUBA;\N;BR
591;F;ICB;Instituto Federal de Educação, Ciências e Tecnologia do Maranhão- Campus Zé Doca;\N;BR
1939;F;KMO;IFRN;\N;\N
323;F;DCA;IFRN;\N;BR
592;F;NOS;Instituto Federal de Educação, Ciência e Tecnologia do Ceará;\N;BR
2762;\N;\N;\N;\N;\N
326;F;DAC;Instituto Federal de Educação Ciência e Tecnologia do Pará.;\N;BR
1168;F;DSLT;IFMA;\N;BR
327;M;RBL;IFCE Cariri;\N;BR
213;F;MICS;IF - Sertão Pernambucano, Campus zona rural.;\N;BR
892;F;LAC;IFCE;\N;BR
1451;F;MGAC;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;\N;BR
317;F;TMNF;Instituto Federal de  Educação, Ciência e Tecnologia do Piauí;\N;BR
798;M;\N;Instituto Federal de Algoas - Campus Plameira dos Índios;http://walker.ifalpalmeira.edu.br/;BR
1693;M;FTD;IFRN;\N;\N
1235;M;MJCM;Universidade Estadual do Piaui - UESPI;\N;BR
2763;\N;\N;\N;\N;\N
330;F;RBD;Instituto Federal de Educação, Ciencia e Tecnologia de Goiás.;\N;BR
748;M;RMBM;Instituto Federal de Alagoas;http://lattes.cnpq.br/0800227705627123;BR
333;F;NAF;IFG;\N;BR
324;M;FHSS;IFMA;\N;\N
2841;\N;\N;Mestre;\N;\N
817;F;MMS;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte - Campus Ipanguaçu;\N;BR
1236;M;JMLS;Universidade Estadual do Piaui - UESPI;\N;BR
393;F;BBLC;Instituto Federal de Educação, Ciência e Tecnologia do Ceará;\N;BR
339;M;ALC;Instituto Federal de Educacao, ciencia e Tecnologia do Ceara - IFCE;\N;\N
1852;F;\N;IFPI;\N;\N
342;F;NCML;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIAS E TECNOLOGIA DO CEARA-IFCE, CAMPUS SOBRAL;\N;BR
1558;M;EVB;IFRN;\N;BR
750;F;HSP;IFAM- Instituto Federal de Educação, Ciência e Tecnologia do Amazonas;\N;BR
2765;\N;\N;\N;\N;\N
1069;M;RDSS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE;\N;BR
350;F;krm;IFRN;\N;BR
348;F;LAAS;IFRN;\N;BR
351;F;dks;instituto federal de educação ciencia e tecnologia do rio grande do norte;http://www.orkut.com.br/Main#Home;BR
1237;M;DMG;Universidade Estadual do Piaui - UESPI;\N;BR
988;M;LR;IFRO;\N;BR
354;F;KRP;Instituto Federal de Ciência e Tecnologia do Amazonas - IFAM;\N;BR
111;M;FHAA;Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco - IFPE - Campus Pesqueira.;\N;BR
